"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
3.99816068391162e-08,0.303791234049031,0.595,0.368,0.000516322470720347,"Th0","ANKRD36C"
4.01084758788704e-08,0.114622393474036,0.237,0.078,0.000517960857499733,"Th0","ST3GAL5"
4.65756365059253e-08,0.307381284488974,0.191,0.06,0.000601477769837519,"Th0","HBEGF"
4.72007575600438e-08,0.628437327061628,0.427,0.222,0.000609550583130406,"Th0","HIST1H1B"
4.82158401614345e-08,0.385230534670598,0.969,0.948,0.000622659359844765,"Th0","IFI16"
4.84127353829535e-08,0.340183706282608,0.725,0.528,0.000625202064735462,"Th0","KIAA1551"
5.15116834903323e-08,0.509913283956897,0.504,0.28,0.000665221880594151,"Th0","HIST2H2AC"
5.2638261102185e-08,0.398847514981964,0.664,0.428,0.000679770503873617,"Th0","GBP1"
5.30917992295339e-08,-0.78653187544842,0.298,0.524,0.0006856274952502,"Th0","DNAJC12"
5.68079118927013e-08,0.348134790875911,0.87,0.688,0.000733617374182344,"Th0","CYLD"
5.91013045798783e-08,0.393444788040102,1,0.965,0.000763234247344548,"Th0","GMFG"
5.93445259151636e-08,-0.450164658450378,0.901,0.925,0.000766375207668423,"Th0","LAT"
5.95408871034496e-08,0.341070979938763,0.809,0.595,0.000768911016053948,"Th0","DYNLT1"
6.05441596733114e-08,0.142722888326889,0.198,0.061,0.000781867278021144,"Th0","RP1-187B23.1"
6.11346892582001e-08,0.540820510569481,0.771,0.551,0.000789493377080395,"Th0","HIST1H1E"
6.46259629030517e-08,0.168097040946946,0.374,0.169,0.00083457968493001,"Th0","MMP25-AS1"
7.05425339388991e-08,0.215828076805452,0.252,0.093,0.000910986283286943,"Th0","PRF1"
7.24282860666211e-08,0.314837175669775,0.947,0.839,0.000935338886264345,"Th0","PSIP1"
7.79549709730489e-08,1.25703681736274,0.137,0.032,0.00100671049514595,"Th0","GZMA"
8.04409012616242e-08,0.154348263258295,0.336,0.142,0.00103881379889262,"Th0","NSF"
8.2623258474223e-08,0.19131411342997,0.229,0.082,0.00106699675993612,"Th0","RNF157"
9.04356322525325e-08,0.300017959572655,0.763,0.518,0.00116788575490921,"Th0","IKZF1"
