"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.00161759134875717,-0.23595048704554,0.221,0.34,1,"Th2","TNF"
0.00163171262309231,-0.26446518661281,0.469,0.585,1,"Th2","INSIG2"
0.0016389090614092,-0.104857938441147,0.069,0.166,1,"Th2","TIAM2"
0.00166312366559214,0.166806233229543,0.834,0.758,1,"Th2","BCLAF1"
0.00166321860364465,-0.249229546038884,0.586,0.668,1,"Th2","MID1IP1"
0.00167428755184544,-0.15491218592493,0.448,0.553,1,"Th2","GALK1"
0.00167750903845947,-0.388027714680844,0.862,0.894,1,"Th2","LSP1"
0.00168195018820506,-0.209017427748689,0.6,0.667,1,"Th2","RNF126"
0.00169030497245647,-0.201513978966848,0.4,0.494,1,"Th2","SYPL1"
0.00169470272599504,0.125605122208684,0.476,0.342,1,"Th2","POLR1E"
0.00170401237300141,-0.201099382163953,0.8,0.804,1,"Th2","TRABD"
0.00170662737877822,0.187981719850929,0.717,0.616,1,"Th2","WNK1"
0.00170698398109871,-0.193532428664058,1,1,1,"Th2","ENO1"
0.00171459591815251,-0.191957994422552,0.497,0.592,1,"Th2","CCDC124"
0.00171508727787038,-0.211500723360677,0.324,0.436,1,"Th2","GCH1"
0.00175680472873278,-0.147517020146802,0.138,0.243,1,"Th2","RASGRP4"
0.00176297375521935,-0.184990202420956,0.552,0.643,1,"Th2","AP1S1"
0.00176695350960026,0.150155976410855,0.441,0.316,1,"Th2","MICU1"
0.0017713327325803,-0.155646625657123,0.648,0.712,1,"Th2","PPP2R1A"
0.00177573909336164,0.179791818357351,0.628,0.504,1,"Th2","GATA3"
0.00179250107527494,-0.255689939927146,0.469,0.591,1,"Th2","SLA"
0.00179629829369449,-0.176959800887777,0.372,0.48,1,"Th2","GIMAP2"
0.00181978883505854,-0.360776175723159,0.455,0.554,1,"Th2","CYFIP2"
0.00182128398140162,0.141817385247093,0.497,0.365,1,"Th2","SECISBP2"
0.00182809970118419,-0.182269706373458,0.766,0.793,1,"Th2","CDC123"
0.00183851252216066,0.233580593823328,0.752,0.629,1,"Th2","UBALD2"
0.00185452618486055,-0.196803263764598,0.917,0.935,1,"Th2","UBE2N"
0.00186710590397765,0.123042546419901,0.207,0.118,1,"Th2","DYRK2"
0.00187483243512275,0.138524079169081,0.559,0.426,1,"Th2","NBN"
0.00192934157996555,0.180914312786844,0.966,0.938,1,"Th2","GTF3A"
0.00193886579893847,0.123497989123762,0.448,0.326,1,"Th2","YTHDC2"
0.0019595713592747,-0.226448505122027,0.717,0.757,1,"Th2","BBX"
0.00196341900636282,0.120193135411774,0.462,0.316,1,"Th2","C12orf76"
0.00197229444816642,0.145011405218737,0.676,0.565,1,"Th2","CEP350"
0.00197342505252466,-0.152967804488246,0.152,0.254,1,"Th2","GPR132"
0.00198346912278821,-0.208799215988902,0.869,0.901,1,"Th2","NUDT21"
0.001984276032643,-0.115522473687651,0.131,0.241,1,"Th2","MFSD12"
